stanza_lemma,stanza_upos,wordform,action,lemma,upos,note
авиаперелет,NOUN,,replace,авиаперелёт,NOUN,ё
актер,NOUN,,replace,актёр,NOUN,ё
актерский,ADJ,,replace,актёрский,ADJ,ё
белье,NOUN,,replace,бельё,NOUN,ё
береза,NOUN,,replace,берёза,NOUN,ё
березовый,ADJ,,replace,берёзовый,ADJ,ё
вареный,ADJ,,replace,варёный,ADJ,ё
веревка,NOUN,,replace,верёвка,NOUN,ё
веселый,ADJ,,replace,весёлый,ADJ,ё
взлет,NOUN,,replace,взлёт,NOUN,ё
вовлеченность,NOUN,,replace,вовлечённость,NOUN,ё
волонтер,NOUN,,replace,волонтёр,NOUN,ё
волонтерский,ADJ,,replace,волонтёрский,ADJ,ё
вперед,ADV,,replace,вперёд,ADV,ё
врожденный,ADJ,,replace,врождённый,ADJ,ё
всерьез,ADV,,replace,всерьёз,ADV,ё
втроем,ADV,,replace,втроём,ADV,ё
далекий,ADJ,,replace,далёкий,ADJ,ё
дергаться,VERB,,replace,дёргаться,VERB,ё
дешево,ADV,,replace,дёшево,ADV,ё
дешевый,ADJ,,replace,дешёвый,ADJ,ё
договоренность,NOUN,,replace,договорённость,NOUN,ё
ее,DET,,replace,её,DET,ё
еж,NOUN,,replace,ёж,NOUN,ё
еще,ADV,,replace,ещё,ADV,ё
желтый,ADJ,,replace,жёлтый,ADJ,ё
жесткий,ADJ,,replace,жёсткий,ADJ,ё
жестко,ADV,,replace,жёстко,ADV,ё
жилье,NOUN,,replace,жильё,NOUN,ё
заем,NOUN,,replace,заём,NOUN,ё
заемный,ADJ,,replace,заёмный,ADJ,ё
замерзнуть,VERB,,replace,замёрзнуть,VERB,ё
застежка,NOUN,,replace,застёжка,NOUN,ё
зачет,NOUN,,replace,зачёт,NOUN,ё
звездный,ADJ,,replace,звёздный,ADJ,ё
зеленый,ADJ,,replace,зелёный,ADJ,ё
киноактер,NOUN,,replace,киноактёр,NOUN,ё
клен,NOUN,,replace,клён,NOUN,ё
ковалев,PROPN,,replace,ковалёв,PROPN,ё
ковер,NOUN,,replace,ковёр,NOUN,ё
конек,NOUN,,replace,конёк,NOUN,ё
королев,PROPN,,replace,королёв,PROPN,ё
костер,NOUN,,replace,костёр,NOUN,ё
котенок,NOUN,,replace,котёнок,NOUN,ё
кошелек,NOUN,,replace,кошелёк,NOUN,ё
кремлевский,ADJ,,replace,кремлёвский,ADJ,ё
легкий,ADJ,,replace,лёгкий,ADJ,ё
лед,NOUN,,replace,лёд,NOUN,ё
летный,ADJ,,replace,лётный,ADJ,ё
летчик,NOUN,,replace,лётчик,NOUN,ё
мед,NOUN,,replace,мёд,NOUN,ё
мерзлый,ADJ,,replace,мёрзлый,ADJ,ё
мертвый,ADJ,,replace,мёртвый,ADJ,ё
